ds,yhat,yhat_lower,yhat_upper
2016-08-23,1171.3515366006932,-4359.24892036984,6964.081684179046
2016-08-24,562.028539852697,-4665.385621737193,5794.615772326775
2016-08-29,343.88648603536126,-5212.683872119173,5802.156385001735
2016-09-13,1518.7328954942668,-4123.71528447047,6887.791544506225
2016-09-14,855.8567379890255,-4836.786043566208,6449.009490606871
2016-09-15,1176.3610958171673,-4465.266679407563,6542.396417263618
2016-09-19,29.06019645735728,-5844.645267196887,5848.8594598773025
2016-09-28,-38.749454201110666,-5386.430620586872,5509.245560364737
2016-10-13,1760.9783442017367,-3938.356555850413,7031.522601139826
2016-10-14,780.6643740229188,-5261.374834847899,6629.863519135734
2016-10-15,1489.843959408483,-4255.8405482056,7570.734344298532
2016-10-17,1094.3398044113162,-4538.378681121954,6888.471574533065
2016-10-22,1147.4139917167918,-4304.663757474262,6898.479363070473
2016-10-24,496.886024517299,-5212.639501344511,6485.088645803769
2016-10-25,1281.6719828111954,-4218.25624109753,6824.506166210753
2016-10-26,551.9956947427717,-4969.294717244624,6235.8801595875275
2016-10-27,812.071437355971,-5198.089679018171,6640.845632291407
2016-10-28,-367.8375254991863,-6078.013019471285,4998.904285548492
2016-10-31,-494.55990374335124,-6003.314292697195,5111.278211555268
2016-11-14,100.34860290305096,-5546.291909101029,5679.50875830055
2016-11-15,1248.0647054409744,-4193.807152314744,6554.565100081692
2016-11-17,1562.4993206820052,-3990.605743720432,6974.832752036337
2016-11-19,1733.054881583269,-3622.7879565905064,7073.796542438975
2016-11-20,1585.8641147712742,-3866.1224379593673,6937.589898453932
2016-11-21,1868.9959976697266,-3445.0904416687285,7336.086300514952
2016-11-25,2577.4579528768672,-2869.7410076977612,8311.875202370955
2016-11-28,3427.9274748535117,-1806.6811990825706,9117.02417984789
2016-11-29,4498.972921869627,-812.3456188131464,10058.463395094299
2016-11-30,4035.816517729063,-1149.093786014337,9189.227635732865
2016-12-13,3816.8279187068165,-1949.2617520530573,9809.492890554948
2016-12-14,3038.661776361999,-1938.105173460266,8738.335324614853
2016-12-17,2479.547933485029,-3018.8014531981376,8019.724103367955
2016-12-18,1860.8152583720703,-3834.6895593746044,7409.471790253589
2016-12-19,1679.1644848947683,-3908.34527928587,7969.486443444386
2016-12-21,1654.5332563317374,-4464.6493935956405,7507.133074931069
2016-12-22,1899.911230766111,-3742.3526512700923,7458.249809927205
2016-12-25,744.478702382256,-4957.3835285472705,6209.9335792500515
2016-12-28,910.8933333672367,-4528.514444021564,6476.670864091565
2016-12-29,1303.188783059856,-4041.521539131985,7046.24468633877
2016-12-30,278.37658246402384,-5104.179096301113,6221.210603975533
2016-12-31,985.383956890133,-4790.56824017405,6464.424732827888
2017-01-15,2500.1832757637967,-3323.6478726741143,8105.737464787524
2017-01-16,2619.7036048777863,-2830.365482730912,8147.933423512052
2017-01-19,3564.751427874131,-1944.0720046995893,8974.005121528702
2017-01-20,2554.416144104871,-3353.3297815721494,8296.937087492539
2017-01-21,3229.968807638738,-2325.586885677411,8527.173083609106
2017-01-22,2790.8733275776167,-2860.9399146921774,8423.337986965822
2017-01-23,2761.15329707449,-2542.8645800027293,8619.97578229933
2017-01-29,2085.9338839704587,-3366.425126305258,8243.938695935867
2017-01-30,1950.149060366597,-3585.67016964713,7815.052072401864
2017-01-31,2719.1145426758635,-3054.645757078664,8043.582354848272
2017-02-13,568.037256024243,-4755.727871691188,6621.575295202077
2017-02-16,1437.2696508446331,-4124.529000651163,6691.869905774618
2017-02-18,1226.4206781556536,-4787.347492548269,6755.336141000809
2017-02-19,895.6862930228374,-4569.07841109376,6662.300766892233
2017-02-21,2017.5922204382248,-3110.6239459352905,7716.764279843721
2017-02-22,1524.4749633429085,-3689.7999884088276,7125.245495325932
2017-02-23,2019.779964391526,-3634.49258449954,7675.566873705319
2017-02-24,1067.6436800874092,-4399.313277222903,6789.604189106241
2017-02-25,1814.9995268441273,-3801.450871138773,7340.197371655455
2017-02-26,1459.0725043708692,-4135.982859879821,7139.210814926112
2017-02-27,1521.5189695096606,-4172.506850355029,7626.507769985277
2017-02-28,2478.757270935981,-3085.8428823192216,8078.315360315856
2017-03-13,739.8994960083993,-4994.041176887435,6098.833759311324
2017-03-14,1567.3970892623224,-3931.625535816553,6977.554846235586
2017-03-15,893.4008161945301,-4926.352045741142,6216.677954526562
2017-03-16,1221.0975459197632,-4442.669125984887,6762.685386116384
2017-03-18,739.2165567059951,-4650.042265132994,6321.306964202952
2017-03-19,281.49032039342455,-5501.671721317767,5986.398912624085
2017-03-20,270.58700097008,-5103.57871396163,5813.426889181042
2017-03-22,606.4731524042431,-5169.696433993748,6123.605815492116
2017-03-23,1035.7999791249795,-4456.633034300261,6729.9043497393295
2017-03-25,763.4863419749483,-5160.953788074019,6272.083296278398
2017-03-26,407.6433008849873,-5053.112198659817,6010.159967215694
2017-03-27,492.72710569287824,-5277.887850434899,5626.460105043385
2017-03-28,1494.3217804020962,-3864.320111315565,6727.766826818877
2017-03-30,1483.9270409818785,-4436.00477651612,6895.9910684593
2017-03-31,534.2142721559404,-4880.013574097771,5813.068589391131
2017-04-14,531.5055562571247,-5009.723766418059,5955.690881960252
2017-04-16,600.0038960067183,-4986.414745619108,6307.473423739085
2017-04-17,515.7079939607563,-5053.445163088831,6059.55278766139
2017-04-18,1342.1493493684438,-4390.58264472805,7245.509494759138
2017-04-20,986.6565201461781,-4720.779827680352,6651.192119003755
2017-04-21,-121.69096272672186,-6126.386125765736,5370.113783881754
2017-04-22,491.50209521984254,-4770.579545832664,5566.0103697418435
2017-04-23,27.991771651819818,-5561.005630328521,5575.520203965868
2017-04-24,13.256148617658255,-5604.97135826094,5691.246842126988
2017-04-25,926.7161008529761,-4321.214533537655,6519.300310042278
2017-04-26,351.48933442306634,-5262.453867087503,6136.668900767389
2017-04-27,788.94938067348,-4563.563533310647,6710.026549938228
2017-04-28,-194.15234520249987,-6167.884143740862,5519.202686223741
2017-04-30,222.5311698430637,-5099.498252165173,5768.627905812566
2017-05-13,2202.56434595163,-3135.163993031532,7252.837020147101
2017-05-14,1827.7662921538622,-3643.5074058394684,7407.503560089388
2017-05-15,1860.0248943741506,-3672.729999446599,7515.961996069638
2017-05-16,2776.4281033266343,-2432.3023098011545,8448.938361859864
2017-05-17,2158.8758495478983,-3598.796760332645,7225.540929919237
2017-05-18,2508.6878092418965,-2849.8461077843376,8207.332899998493
2017-05-21,1424.4641484372144,-4245.199057552346,7306.316026301635
2017-05-22,1298.064212441467,-4263.595021563191,6443.0434110505175
2017-05-23,2067.022353736233,-3690.729820568111,8008.662179874691
2017-05-24,1317.001121526858,-4076.9173289483124,6956.780127475082
2017-05-25,1552.7257998763605,-4192.5634502785715,6660.578566094705
